iter	Passed	Remaining
0	4	937
1	8	828
2	11	767
3	15	742
4	19	753
5	22	734
6	26	722
7	29	707
8	32	697
9	36	698
10	40	694
11	43	687
12	47	683
13	51	679
14	54	674
15	58	667
16	61	660
17	64	655
18	68	653
19	72	648
20	75	641
21	78	637
22	82	635
23	86	631
24	89	627
25	93	622
26	96	620
27	100	618
28	104	615
29	107	611
30	111	607
31	114	603
32	118	600
33	121	595
34	125	590
35	128	587
36	132	583
37	135	579
38	139	577
39	143	575
40	148	574
41	151	570
42	155	567
43	158	563
44	162	560
45	166	558
46	170	553
47	173	549
48	177	548
49	182	546
50	185	542
51	189	538
52	192	534
53	196	530
54	199	526
55	203	523
56	207	519
57	210	516
58	215	514
59	219	512
60	223	510
61	228	509
62	233	507
63	241	512
64	245	509
65	249	505
66	252	501
67	256	497
68	261	496
69	267	496
70	270	492
71	276	490
72	283	492
73	287	489
74	295	492
75	303	495
76	316	505
77	320	501
78	327	502
79	333	500
80	338	498
81	344	495
82	349	493
83	353	488
84	360	488
85	365	484
86	369	479
87	374	476
88	379	473
89	384	469
90	389	466
91	395	464
92	399	459
93	403	454
94	408	451
95	412	447
96	417	443
97	421	439
98	426	435
99	432	432
100	437	428
101	443	425
102	447	421
103	451	416
104	456	412
105	460	408
106	465	404
107	470	401
108	475	397
109	482	394
110	486	390
111	490	385
112	494	381
113	498	376
114	502	371
115	507	367
116	510	362
117	514	357
118	518	353
119	524	349
120	528	345
121	532	340
122	537	336
123	541	331
124	545	327
125	552	324
126	558	321
127	562	316
128	568	312
129	573	308
130	577	304
131	581	299
132	587	295
133	590	291
134	594	286
135	598	281
136	602	277
137	606	272
138	609	267
139	613	262
140	617	258
141	621	253
142	624	248
143	627	244
144	632	239
145	635	235
146	639	230
147	642	225
148	646	221
149	650	216
150	654	212
151	658	207
152	661	203
153	667	199
154	670	194
155	674	190
156	678	185
157	682	181
158	687	177
159	695	173
160	699	169
161	704	165
162	708	160
163	712	156
164	716	152
165	727	149
166	746	147
167	752	143
168	755	138
169	761	134
170	765	129
171	769	125
172	774	120
173	781	116
174	789	112
175	797	108
176	801	104
177	806	99
178	813	95
179	817	90
180	822	86
181	827	81
182	831	77
183	835	72
184	839	68
185	844	63
186	848	58
187	852	54
188	856	49
189	861	45
190	865	40
191	869	36
192	873	31
193	877	27
194	880	22
195	884	18
196	889	13
197	893	9
198	896	4
199	899	0
