iter	Logloss
0	0.6177875469
1	0.5609796697
2	0.4967811221
3	0.4518637389
4	0.4010101913
5	0.3617750556
6	0.3336273127
7	0.3113821451
8	0.3012097511
9	0.2901532392
10	0.2740660168
11	0.2659122748
12	0.2556109738
13	0.2502329442
14	0.244480067
15	0.2343322622
16	0.2306194553
17	0.2255494419
18	0.2191028678
19	0.2145243723
20	0.2112648704
21	0.2075309258
22	0.204105691
23	0.2011738567
24	0.1989688956
25	0.1953944087
26	0.1922965277
27	0.189479316
28	0.1871923471
29	0.1850972196
30	0.1832622181
31	0.1813106785
32	0.1801906767
33	0.1794267134
34	0.1782846822
35	0.1763886786
36	0.1749319597
37	0.1736860895
38	0.1722732478
39	0.171620885
40	0.1709577222
41	0.1703280494
42	0.1694945298
43	0.168657179
44	0.1672561447
45	0.1669278
46	0.1661514018
47	0.1648789938
48	0.1645818933
49	0.1638583889
50	0.1629321936
51	0.1620857932
52	0.1613146629
53	0.1610946325
54	0.1603211572
55	0.1598699
56	0.1594846651
57	0.1589875159
58	0.1587164908
59	0.1583033805
60	0.1580164856
61	0.1577784716
62	0.1573175868
63	0.1566785507
64	0.1562020108
65	0.1558389375
66	0.1556693073
67	0.1550937009
68	0.1546950732
69	0.1541709735
70	0.1539781083
71	0.1536888519
72	0.1534026505
73	0.1531304033
74	0.1526572653
75	0.1521215067
76	0.1514697715
77	0.1512190583
78	0.1507317019
79	0.1504997815
80	0.1501356513
81	0.1498554444
82	0.1495964414
83	0.1490981527
84	0.1488858012
85	0.1486518001
86	0.1480749221
87	0.1477507719
88	0.1475503765
89	0.1474124198
90	0.1471212148
91	0.1466766126
92	0.1464699089
93	0.1463065705
94	0.1460445454
95	0.1458015277
96	0.1453795
97	0.1452254754
98	0.1449965275
99	0.1445474666
100	0.1443140434
101	0.143815441
102	0.1436444237
103	0.1433008037
104	0.1429736645
105	0.1427306468
106	0.1426662429
107	0.1426188812
108	0.1422399876
109	0.1421951525
110	0.1417114786
111	0.1416049644
112	0.1413065262
113	0.1409326859
114	0.1406350074
115	0.140482981
116	0.1403163563
117	0.14017224
118	0.1400340357
119	0.139724203
120	0.1394787413
121	0.1392509493
122	0.1390313813
123	0.1388262959
124	0.1384554611
125	0.1381215347
126	0.1379641
127	0.1378650583
128	0.1375278374
129	0.1373798651
130	0.1371324382
131	0.1367985119
132	0.1365883732
133	0.1364075467
134	0.1361590546
135	0.1357523518
136	0.1356310659
137	0.1353410168
138	0.1349870261
139	0.1348634943
140	0.1345841379
141	0.134326877
142	0.1341632496
143	0.1340949979
144	0.1338985658
145	0.1336406691
146	0.1335196474
147	0.1333419337
148	0.1330774976
149	0.1326850462
150	0.1324726534
151	0.1321873768
152	0.1318177888
153	0.1314504054
154	0.1314193428
155	0.1312565659
156	0.1311906592
157	0.1311410929
158	0.1307730406
159	0.1305692103
160	0.1304380574
161	0.1301396853
162	0.1299120255
163	0.1295667706
164	0.1293683403
165	0.1293033088
166	0.1289900825
167	0.1288612993
168	0.128725184
169	0.1286130963
170	0.1284291816
171	0.1282246247
172	0.1280691799
173	0.1279620877
174	0.1279258893
175	0.1278262118
176	0.1276731367
177	0.1275062974
178	0.1273493251
179	0.1272467824
180	0.1270694485
181	0.1269146147
182	0.1268497484
183	0.126638751
184	0.1263529129
185	0.126208582
186	0.125944344
187	0.1258173526
188	0.1255576724
189	0.1253863413
190	0.1252491278
191	0.1251438438
192	0.1250455699
193	0.1249142601
194	0.1247879871
195	0.1246208257
196	0.1244580323
197	0.1242875434
198	0.1241669345
199	0.1240432211
