iter	Passed	Remaining
0	13	2598
1	16	1658
2	20	1339
3	24	1176
4	28	1108
5	32	1063
6	37	1032
7	42	1019
8	46	990
9	50	965
10	55	956
11	60	942
12	64	932
13	69	926
14	77	958
15	83	963
16	88	950
17	94	951
18	98	942
19	104	936
20	109	931
21	114	923
22	119	919
23	125	916
24	130	912
25	136	913
26	142	911
27	146	897
28	149	883
29	153	870
30	158	862
31	162	852
32	166	844
33	171	834
34	175	826
35	179	818
36	183	809
37	190	811
38	194	803
39	198	794
40	203	788
41	207	782
42	212	776
43	217	771
44	222	767
45	227	760
46	231	753
47	236	750
48	241	743
49	246	738
50	251	735
51	256	730
52	261	724
53	266	719
54	272	717
55	276	711
56	280	702
57	284	697
58	288	690
59	292	683
60	296	676
61	302	672
62	306	666
63	311	661
64	315	655
65	320	651
66	325	645
67	329	639
68	334	634
69	338	628
70	342	622
71	346	616
72	351	612
73	356	606
74	360	601
75	365	595
76	369	589
77	373	584
78	378	578
79	382	573
80	386	568
81	391	563
82	395	557
83	400	552
84	404	547
85	408	541
86	412	536
87	417	531
88	421	525
89	425	519
90	429	514
91	434	509
92	438	504
93	442	498
94	446	493
95	450	488
96	454	482
97	458	477
98	463	472
99	467	467
100	471	462
101	475	456
102	479	451
103	484	447
104	488	442
105	493	437
106	497	432
107	501	427
108	505	422
109	511	418
110	515	412
111	518	407
112	523	402
113	528	398
114	533	393
115	538	389
116	542	385
117	547	380
118	551	375
119	555	370
120	560	365
121	564	360
122	568	355
123	573	351
124	578	347
125	583	342
126	587	337
127	591	332
128	595	327
129	599	322
130	602	317
131	606	312
132	610	307
133	614	302
134	617	297
135	621	292
136	625	287
137	630	283
138	635	278
139	639	273
140	643	269
141	647	264
142	651	259
143	655	254
144	659	250
145	662	245
146	668	240
147	672	236
148	676	231
149	680	226
150	684	222
151	688	217
152	692	212
153	696	208
154	701	203
155	706	199
156	710	194
157	714	189
158	718	185
159	723	180
160	728	176
161	732	171
162	737	167
163	741	162
164	745	158
165	749	153
166	754	149
167	758	144
168	762	139
169	766	135
170	772	130
171	776	126
172	781	121
173	786	117
174	790	112
175	794	108
176	799	103
177	804	99
178	808	94
179	812	90
180	817	85
181	821	81
182	825	76
183	829	72
184	833	67
185	837	63
186	840	58
187	844	53
188	848	49
189	852	44
190	856	40
191	860	35
192	864	31
193	868	26
194	872	22
195	875	17
196	879	13
197	884	8
198	888	4
199	891	0
